capture_time sport dport ssrc seq ts delta_ts delta_frames ft q payload_len payload_hex
3.492064 4000 4010 1758153794 18240 2511028240   2 1 16 f1603edc5f9d916066627b2122223202
3.494565 4010 4000 1341999343 3902 3603258293   2 1 16 f1603edc5f9d916066627b2122223202
3.512390 4000 4010 1758153794 18241 2511028400 160 1 2 1 16 f14ea87e06c1264f5c771d336fb340ce
3.514909 4010 4000 1341999343 3903 3603258453 160 1 2 1 16 f14ea87e06c1264f5c771d336fb340ce
3.532737 4000 4010 1758153794 18242 2511028560 160 1 2 1 16 f14f687e06e10e069477a4a04f67b231
3.535212 4010 4000 1341999343 3904 3603258613 160 1 2 1 16 f14f687e06e10e069477a4a04f67b231
3.552043 4000 4010 1758153794 18243 2511028720 160 1 2 1 16 f16cadbe068975625c71e7e6b4235627
3.555473 4010 4000 1341999343 3905 3603258773 160 1 2 1 16 f16cadbe068975625c71e7e6b4235627
3.572343 4000 4010 1758153794 18244 2511028880 160 1 2 1 16 f14f687e07e00642d47496b2e666230e
3.574787 4010 4000 1341999343 3906 3603258933 160 1 2 1 16 f14f687e07e00642d47496b2e666230e
3.592649 4000 4010 1758153794 18245 2511029040 160 1 2 1 16 f16ca87e06d920570c7457c5c630ca27
3.595094 4010 4000 1341999343 3907 3603259093 160 1 2 1 16 f16ca87e06d920570c7457c5c630ca27
3.612958 4000 4010 1758153794 18246 2511029200 160 1 2 1 16 f14f6dbe07e016206c735498c7302017
3.615397 4010 4000 1341999343 3908 3603259253 160 1 2 1 16 f14f6dbe07e016206c735498c7302017
3.632256 4000 4010 1758153794 18247 2511029360 160 1 2 1 16 f16ca6be07f8005fa472de0839d0fe08
3.634705 4010 4000 1341999343 3909 3603259413 160 1 2 1 16 f16ca6be07f8005fa472de0839d0fe08
3.652578 4000 4010 1758153794 18248 2511029520 160 1 2 1 16 f14f6dbe07e00e485c742d2e30ee374e
3.655014 4010 4000 1341999343 3910 3603259573 160 1 2 1 16 f14f6dbe07e00e485c742d2e30ee374e
3.672949 4000 4010 1758153794 18249 2511029680 160 1 2 1 16 f16ca87e0738c03784754fc48010ea11
3.675361 4010 4000 1341999343 3911 3603259733 160 1 2 1 16 f16ca87e0738c03784754fc48010ea11
3.692229 4000 4010 1758153794 18250 2511029840 160 1 2 1 16 f14f687e07e00621e472373ff480be80
3.694633 4010 4000 1341999343 3912 3603259893 160 1 2 1 16 f14f687e07e00621e472373ff480be80
3.712568 4000 4010 1758153794 18251 2511030000 160 1 2 1 16 f16cadbe06f900469472adce8433567e
3.714948 4010 4000 1341999343 3913 3603260053 160 1 2 1 16 f16cadbe06f900469472adce8433567e
3.732892 4000 4010 1758153794 18252 2511030160 160 1 2 1 16 f14f66be0601e6796c72cffb6108b53b
3.735263 4010 4000 1341999343 3914 3603260213 160 1 2 1 16 f14f66be0601e6796c72cffb6108b53b
3.752265 4000 4010 1758153794 18253 2511030320 160 1 2 1 16 f16cadbe06b940d5a4705fc79746b443
3.755625 4010 4000 1341999343 3915 3603260373 160 1 2 1 16 f16cadbe06b940d5a4705fc79746b443
3.772598 4000 4010 1758153794 18254 2511030480 160 1 2 1 16 f14f687e0601e6387c7717ff21880533
3.774914 4010 4000 1341999343 3916 3603260533 160 1 2 1 16 f14f687e0601e6387c7717ff21880533
3.792930 4000 4010 1758153794 18255 2511030640 160 1 2 1 16 f16ca87e031cf17f8474b6e51629f977
3.795229 4010 4000 1341999343 3917 3603260693 160 1 2 1 16 f16ca87e031cf17f8474b6e51629f977
3.812285 4000 4010 1758153794 18256 2511030800 160 1 2 1 16 f14f6dbe0700e6187c70f5f519c705ed
3.815542 4010 4000 1341999343 3918 3603260853 160 1 2 1 16 f14f6dbe0700e6187c70f5f519c705ed
3.832593 4000 4010 1758153794 18257 2511030960 160 1 2 1 16 f16ca6be0669957f84732f282025213b
3.834871 4010 4000 1341999343 3919 3603261013 160 1 2 1 16 f16ca6be0669957f84732f282025213b
3.852916 4000 4010 1758153794 18258 2511031120 160 1 2 1 16 f14f6dbe0700ee187c75a5e9f8d8221d
3.855175 4010 4000 1341999343 3920 3603261173 160 1 2 1 16 f14f6dbe0700ee187c75a5e9f8d8221d
3.872268 4000 4010 1758153794 18259 2511031280 160 1 2 1 16 f16ca87e0798601bc475074c27061401
3.875496 4010 4000 1341999343 3921 3603261333 160 1 2 1 16 f16ca87e0798601bc475074c27061401
3.892576 4000 4010 1758153794 18260 2511031440 160 1 2 1 16 f14f687e0601e6796c74f7fe9a6e0251
3.894792 4010 4000 1341999343 3922 3603261493 160 1 2 1 16 f14f687e0601e6796c74f7fe9a6e0251
3.912905 4000 4010 1758153794 18261 2511031600 160 1 2 1 16 f16cadbe0798601a5c7087c08364e837
3.915108 4010 4000 1341999343 3923 3603261653 160 1 2 1 16 f16cadbe0798601a5c7087c08364e837
3.932229 4000 4010 1758153794 18262 2511031760 160 1 2 1 16 f14f66be0601e67e1c7567fc282e95aa
3.935453 4010 4000 1341999343 3924 3603261813 160 1 2 1 16 f14f66be0601e67e1c7567fc282e95aa
3.952578 4000 4010 1758153794 18263 2511031920 160 1 2 1 16 f16cadbe079860387c71e7c214160557
3.954781 4010 4000 1341999343 3925 3603261973 160 1 2 1 16 f16cadbe079860387c71e7c214160557
3.972918 4000 4010 1758153794 18264 2511032080 160 1 2 1 16 f14f687e0601e6796c7347f64d0b358f
3.975102 4010 4000 1341999343 3926 3603262133 160 1 2 1 16 f14f687e0601e6796c7347f64d0b358f
3.992276 4000 4010 1758153794 18265 2511032240 160 1 2 1 16 f16ca87e06d9205784773f49b075e644
3.995416 4010 4000 1341999343 3927 3603262293 160 1 2 1 16 f16ca87e06d9205784773f49b075e644
4.012597 4000 4010 1758153794 18266 2511032400 160 1 2 1 16 f14f6dbe0700e6487c74f5fc03e5356e
4.014761 4010 4000 1341999343 3928 3603262453 160 1 2 1 16 f14f6dbe0700e6487c74f5fc03e5356e
4.032937 4000 4010 1758153794 18267 2511032560 160 1 2 1 16 f16ca6be07f8002f94708e06bb72dc10
4.035066 4010 4000 1341999343 3929 3603262613 160 1 2 1 16 f16ca6be07f8002f94708e06bb72dc10
4.052237 4000 4010 1758153794 18268 2511032720 160 1 2 1 16 f14f6dbe0700ee183c74e7e9f298bab7
4.055393 4010 4000 1341999343 3930 3603262773 160 1 2 1 16 f14f6dbe0700ee183c74e7e9f298bab7
4.072558 4000 4010 1758153794 18269 2511032880 160 1 2 1 16 f16ca87e0708f53e94750fa62202be00
4.074724 4010 4000 1341999343 3931 3603262933 160 1 2 1 16 f16ca87e0708f53e94750fa62202be00
4.092876 4000 4010 1758153794 18270 2511033040 160 1 2 1 16 f14f687e0700e62e1c7195ffaa815e02
4.095043 4010 4000 1341999343 3932 3603263093 160 1 2 1 16 f14f687e0700e62e1c7195ffaa815e02
4.112273 4000 4010 1758153794 18271 2511033200 160 1 2 1 16 f160034e01032648c476d64401030332
4.115455 4010 4000 1341999343 3933 3603263253 160 1 2 1 16 f160034e01032648c476d64401030332
4.132606 4000 4010 1758153794 18272 2511033360 160 1 2 1 16 f14ea6be0601f74f3c71bf5275100a15
4.134753 4010 4000 1341999343 3934 3603263413 160 1 2 1 16 f14ea6be0601f74f3c71bf5275100a15
4.152951 4000 4010 1758153794 18273 2511033520 160 1 2 1 16 f14f6dbe07805e2cb4766c049a0bd463
4.155093 4010 4000 1341999343 3935 3603263573 160 1 2 1 16 f14f6dbe07805e2cb4766c049a0bd463
4.172248 4000 4010 1758153794 18274 2511033680 160 1 2 1 16 f16ca87e07a8555eb477e5b170aaf20c
4.175415 4010 4000 1341999343 3936 3603263733 160 1 2 1 16 f16ca87e07a8555eb477e5b170aaf20c
4.192572 4000 4010 1758153794 18275 2511033840 160 1 2 1 16 f14f687e07e00e05a470f52afdd5ffcd
4.194780 4010 4000 1341999343 3937 3603263893 160 1 2 1 16 f14f687e07e00e05a470f52afdd5ffcd
4.212912 4000 4010 1758153794 18276 2511034000 160 1 2 1 16 f16cadbe0758803cb47447c14b16517b
4.215110 4010 4000 1341999343 3938 3603264053 160 1 2 1 16 f16cadbe0758803cb47447c14b16517b
4.232262 4000 4010 1758153794 18277 2511034160 160 1 2 1 16 f14f66be07a04634b4766f2bfba0de0a
4.235438 4010 4000 1341999343 3939 3603264213 160 1 2 1 16 f14f66be07a04634b4766f2bfba0de0a
4.252557 4000 4010 1758153794 18278 2511034320 160 1 2 1 16 f16cadbe06f901c5a4707fc641991611
4.254767 4010 4000 1341999343 3940 3603264373 160 1 2 1 16 f16cadbe06f901c5a4707fc641991611
4.272893 4000 4010 1758153794 18279 2511034480 160 1 2 1 16 f14f687e07a0063c2c7565701011cc22
4.275096 4010 4000 1341999343 3941 3603264533 160 1 2 1 16 f14f687e07a0063c2c7565701011cc22
4.292254 4000 4010 1758153794 18280 2511034640 160 1 2 1 16 f16ca87e0699605f84768fc76365ae22
4.295438 4010 4000 1341999343 3942 3603264693 160 1 2 1 16 f16ca87e0699605f84768fc76365ae22
4.312617 4000 4010 1758153794 18281 2511034800 160 1 2 1 16 f14f6dbe07608e694c747d2622187420
4.314732 4010 4000 1341999343 3943 3603264853 160 1 2 1 16 f14f6dbe07608e694c747d2622187420
4.332951 4000 4010 1758153794 18282 2511034960 160 1 2 1 16 f16ca6be06e9156f9470cf2e4aff9d97
4.335056 4010 4000 1341999343 3944 3603265013 160 1 2 1 16 f16ca6be06e9156f9470cf2e4aff9d97
4.352273 4000 4010 1758153794 18283 2511035120 160 1 2 1 16 f14f6dbe0621ce196474e7e9328c7aea
4.355375 4010 4000 1341999343 3945 3603265173 160 1 2 1 16 f14f6dbe0621ce196474e7e9328c7aea
4.372502 4000 4010 1758153794 18284 2511035280 160 1 2 1 16 f16ca87e025cb06bc470f5e340415700
4.374534 4010 4000 1341999343 3946 3603265333 160 1 2 1 16 f16ca87e025cb06bc470f5e340415700
4.392884 4000 4010 1758153794 18285 2511035440 160 1 2 1 16 f14f687e0601e6787c731ff9ca938225
4.394843 4010 4000 1341999343 3947 3603265493 160 1 2 1 16 f14f687e0601e6787c731ff9ca938225
4.412222 4000 4010 1758153794 18286 2511035600 160 1 2 1 16 f16cadbe0738c0370c729e626bb2a2b1
4.415188 4010 4000 1341999343 3948 3603265653 160 1 2 1 16 f16cadbe0738c0370c729e626bb2a2b1
4.432543 4000 4010 1758153794 18287 2511035760 160 1 2 1 16 f14f66be0601e67d2c77d7f02d63556f
4.435521 4010 4000 1341999343 3949 3603265813 160 1 2 1 16 f14f66be0601e67d2c77d7f02d63556f
4.452868 4000 4010 1758153794 18288 2511035920 160 1 2 1 16 f16cadbe067980e61c710fcf70401945
4.454858 4010 4000 1341999343 3950 3603265973 160 1 2 1 16 f16cadbe067980e61c710fcf70401945
